,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,147
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,0 441 2086 1483 223 3970 28,0.0 1.0 1.0 1.0 0.0 1.0 1.0,111011.0,0,13583,0 422 2037 1417 230 3854 16,0.0 0.0 0.0 0.0 0.4117647058823529 0.0 0.0,41.17647058823529,0,14538,0 428 2054 1441 240 3875 22,0.0 0.3157894736842105 0.3469387755102041 0.36363636363636365 1.0 0.1810344827586207 0.5,35514.281831987035,0,14171
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,0 2 2242 904 333 8275 -9,0.0 0.0 0.0 1.0 0.0 0.0 0.0,1000.0,0,40922,0 2 2427 776 415 8632 12,0.0 0.0 0.4214123006833713 0.0 0.5694444444444444 0.6386404293381037 1.0,4278.453855571539,0,39250,0 2 2681 839 477 8834 -9,0.0 0.0 1.0 0.4921875 1.0 1.0 0.0,10602.1875,0,38276
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 17 183 55 706 -16,0.0 0.0 0.0 0.0 1.0 0.0 0.0,100.0,0,22065,0 0 20 201 47 853 8,0.0 0.0 1.0 0.5625 0.0 0.8121546961325967 1.0,10571.621546961325,0,21497,0 0 20 215 51 887 -1,0.0 0.0 1.0 1.0 0.5 1.0 0.625,11060.625,0,21413
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,0 243 863 672 149 1723 35,0.0 0.0 0.0 0.0 0.42857142857142855 1.0 0.0,52.857142857142854,0,37530,0 252 878 726 146 1692 41,0.0 0.42857142857142855 0.42857142857142855 1.0 0.0 0.6868686868686869 1.0,48150.72582972582,0,37065,0 264 898 700 153 1624 39,0.0 1.0 1.0 0.5185185185185185 1.0 0.0 0.6666666666666666,110619.1851851852,0,36571
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,0 1 0 0 0 254 -106,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,18017,0 1 0 0 0 254 -106,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,18017,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,0 2 0 0 0 424 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.96875,0.96875,0,22921,0 2 0 0 0 424 -83,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,22920,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,0 21 1014 616 244 3523 32,0.0 1.0 0.0 1.0 1.0 0.125 0.7272727272727273,101101.97727272728,0,27050,0 18 1052 612 229 3558 24,0.0 0.0 1.0 0.6923076923076923 0.25 1.0 0.0,10727.307692307691,0,27510,0 21 1018 603 224 3518 35,0.0 1.0 0.10526315789473684 0.0 0.0 0.0 1.0,101053.63157894737,0,26968
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166
