,mp-is1-p-hi-org-obj,mp-is1-p-hi-nrm-obj,mp-is1-p-hi-obj,mp-is1-p-hi-diff,mp-is1-p-hi-freq,mp-is1-p-low-org-obj,mp-is1-p-low-nrm-obj,mp-is1-p-low-obj,mp-is1-p-low-diff,mp-is1-p-low-freq,mp-is1-p-mid-org-obj,mp-is1-p-mid-nrm-obj,mp-is1-p-mid-obj,mp-is1-p-mid-diff,mp-is1-p-mid-freq,mp-is10-p-hi-org-obj,mp-is10-p-hi-nrm-obj,mp-is10-p-hi-obj,mp-is10-p-hi-diff,mp-is10-p-hi-freq,mp-is10-p-low-org-obj,mp-is10-p-low-nrm-obj,mp-is10-p-low-obj,mp-is10-p-low-diff,mp-is10-p-low-freq,mp-is10-p-mid-org-obj,mp-is10-p-mid-nrm-obj,mp-is10-p-mid-obj,mp-is10-p-mid-diff,mp-is10-p-mid-freq,mp-is100-p-hi-org-obj,mp-is100-p-hi-nrm-obj,mp-is100-p-hi-obj,mp-is100-p-hi-diff,mp-is100-p-hi-freq,mp-is100-p-low-org-obj,mp-is100-p-low-nrm-obj,mp-is100-p-low-obj,mp-is100-p-low-diff,mp-is100-p-low-freq,mp-is100-p-mid-org-obj,mp-is100-p-mid-nrm-obj,mp-is100-p-mid-obj,mp-is100-p-mid-diff,mp-is100-p-mid-freq
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 144 -106,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.05,178,0 0 0 0 0 178 -79,0.0 0.0 0.0 0.0 0.0 0.7555555555555555 0.9642857142857143,8.519841269841269,0.3333333333333333,13,0 0 0 0 0 158 -91,0.0 0.0 0.0 0.0 0.0 0.3111111111111111 0.5357142857142857,3.6468253968253967,0.05,136,0 0 0 0 0 155 -84,0.0 0.0 0.0 0.0 0.0 0.24444444444444444 0.7857142857142857,3.23015873015873,0.05,149,0 0 0 0 0 189 -78,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.2357142857142857,26,0 0 0 0 0 161 -93,0.0 0.0 0.0 0.0 0.0 0.37777777777777777 0.4642857142857143,4.242063492063492,0.05,162,0 0 0 0 0 155 -96,0.0 0.0 0.0 0.0 0.0 0.24444444444444444 0.35714285714285715,2.8015873015873014,0.05,103,0 0 0 0 0 188 -79,0.0 0.0 0.0 0.0 0.0 0.9777777777777777 0.9642857142857143,10.74206349206349,0.32142857142857145,29,0 0 0 0 0 156 -103,0.0 0.0 0.0 0.0 0.0 0.26666666666666666 0.10714285714285714,2.7738095238095237,0.05,124
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s8,22 109 3247 1676 170 7479 -37,0.3333333333333333 0.0 0.0 0.986404833836858 0.005291005291005291 0.9291479820627803 0.23809523809523808,334329.79684275796,0.01,3269,21 425 3365 1023 259 5407 11,0.0 0.7860696517412935 0.10766423357664233 0.0 0.47619047619047616 0.0 1.0,79732.22655751482,0.11571428571428571,1051,24 511 4343 1517 358 6119 7,1.0 1.0 1.0 0.7462235649546828 1.0 0.31928251121076234 0.9365079365079365,1110850.3528980033,0.3142857142857143,1011,22 109 3338 1685 172 7637 -44,0.3333333333333333 0.0 0.08302919708029197 1.0 0.015873015873015872 1.0 0.12698412698412698,335175.3395898505,0.01,3143,21 425 3365 1023 259 5407 11,0.0 0.7860696517412935 0.10766423357664233 0.0 0.47619047619047616 0.0 1.0,79732.22655751482,0.11571428571428571,1051,24 511 4343 1517 358 6119 7,1.0 1.0 1.0 0.7462235649546828 1.0 0.31928251121076234 0.9365079365079365,1110850.3528980033,0.3142857142857143,1011,22 109 3338 1683 169 7628 -52,0.3333333333333333 0.0 0.08302919708029197 0.9969788519637462 0.0 0.9959641255605381 0.0,335170.56379735563,0.01,3155,21 425 3365 1023 259 5407 11,0.0 0.7860696517412935 0.10766423357664233 0.0 0.47619047619047616 0.0 1.0,79732.22655751482,0.11571428571428571,1051,24 511 4342 1517 358 6119 9,1.0 1.0 0.9990875912408759 0.7462235649546828 1.0 0.31928251121076234 0.9682539682539683,1110841.2605564438,0.3142857142857143,1012
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s3,17 12 1372 836 1 4364 -41,0.0 0.0 0.952 0.7661691542288557 0.0 0.9784580498866213 0.0,10295.953734727722,0.012857142857142857,5949,18 397 1253 789 43 3501 -16,0.5 1.0 0.0 0.5323383084577115 1.0 0.0 1.0,600633.3383084578,0.23857142857142857,393,18 397 1253 789 43 3501 -16,0.5 1.0 0.0 0.5323383084577115 1.0 0.0 1.0,600633.3383084578,0.23857142857142857,393,17 12 1372 843 1 4364 -20,0.0 0.0 0.952 0.8009950248756219 0.0 0.9784580498866213 0.84,10331.619605374488,0.012857142857142857,5917,18 397 1254 789 43 3504 -16,0.5 1.0 0.008 0.5323383084577115 1.0 0.003401360544217687 1.0,600713.3723220632,0.23857142857142857,392,18 397 1254 789 43 3504 -16,0.5 1.0 0.008 0.5323383084577115 1.0 0.003401360544217687 1.0,600713.3723220632,0.23857142857142857,392,17 12 1373 883 2 4383 -24,0.0 0.0 0.96 1.0 0.023809523809523808 1.0 0.68,10613.060952380953,0.012857142857142857,5474,18 397 1253 789 43 3501 -16,0.5 1.0 0.0 0.5323383084577115 1.0 0.0 1.0,600633.3383084578,0.23857142857142857,393,19 193 1378 682 33 3597 -27,1.0 0.4701298701298701 1.0 0.0 0.7619047619047619 0.10884353741496598 0.56,1057090.8259245518,0.15,379
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s8,1 2 0 2 0 87 -13,1.0 1.0 0.0 0.0 0.0 0.0 1.0,1100001.0,0.03571428571428571,3494,0 1 0 2 0 109 -21,0.0 0.0 0.0 0.0 0.0 0.8461538461538461 0.0,8.461538461538462,0.40714285714285714,20654,0 1 0 2 0 96 -17,0.0 0.0 0.0 0.0 0.0 0.34615384615384615 0.5,3.9615384615384617,0.06428571428571428,7322,1 2 0 2 0 87 -13,1.0 1.0 0.0 0.0 0.0 0.0 1.0,1100001.0,0.03571428571428571,3494,0 1 0 2 0 113 -16,0.0 0.0 0.0 0.0 0.0 1.0 0.625,10.625,0.32142857142857145,20651,0 1 0 2 0 95 -19,0.0 0.0 0.0 0.0 0.0 0.3076923076923077 0.25,3.326923076923077,0.06428571428571428,7324,1 2 0 2 0 87 -13,1.0 1.0 0.0 0.0 0.0 0.0 1.0,1100001.0,0.03571428571428571,3494,0 1 0 2 0 109 -21,0.0 0.0 0.0 0.0 0.0 0.8461538461538461 0.0,8.461538461538462,0.40714285714285714,20654,0 1 0 2 0 96 -20,0.0 0.0 0.0 0.0 0.0 0.34615384615384615 0.125,3.5865384615384617,0.06428571428571428,7323
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s5,9 5 107 231 22 1108 17,0.0 1.0 0.017676767676767676 0.0 0.8235294117647058 0.029 1.0,100260.41061794414,0.01904761904761905,5606,13 4 496 2890 8 2062 -63,1.0 0.0 1.0 0.9782928623988226 0.0 0.983 0.012345679012345678,1010988.1352080777,0.01904761904761905,12634,13 4 432 2735 10 1957 -55,1.0 0.0 0.8383838383838383 0.9212656364974245 0.11764705882352941 0.878 0.1111111111111111,1009325.7598373294,0.01904761904761905,14792,9 5 111 236 18 1112 15,0.0 1.0 0.027777777777777776 0.001839587932303164 0.5882352941176471 0.033 0.9753086419753086,100339.74620376383,0.01904761904761905,5147,13 4 444 2770 10 1984 -64,1.0 0.0 0.8686868686868687 0.9341427520235467 0.11764705882352941 0.905 0.0,1009641.8261447747,0.01904761904761905,14421,13 4 444 2727 9 1981 -59,1.0 0.0 0.8686868686868687 0.9183222958057395 0.058823529411764705 0.902 0.06172839506172839,1009620.1550640108,0.01904761904761905,14604,9 5 100 241 25 1079 9,0.0 1.0 0.0 0.003679175864606328 1.0 0.0 0.9012345679012346,100104.5804104325,0.01904761904761905,5758,13 4 451 2821 11 1991 -64,1.0 0.0 0.8863636363636364 0.9529065489330389 0.17647058823529413 0.912 0.0,1009843.3099713929,0.01904761904761905,14108,13 4 496 2949 10 2079 -60,1.0 0.0 1.0 1.0 0.11764705882352941 1.0 0.04938271604938271,1011021.8140885985,0.01904761904761905,12205
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s9,9 122 270 245 40 568 -33,0.6666666666666666 0.1079136690647482 0.256198347107438 0.10463576158940398 0.3695652173913043 0.1340782122905028 0.1951219512195122,680163.1452316184,0.009523809523809525,8143,6 385 477 757 69 804 -25,0.3333333333333333 0.7386091127098321 0.6838842975206612 0.7827814569536424 1.0 0.5735567970204841 0.3902439024390244,414921.9948483495,0.2833333333333333,3646,9 279 297 241 23 640 0,0.6666666666666666 0.4844124700239808 0.3119834710743802 0.09933774834437085 0.0 0.2681564245810056 1.0,718330.7676923987,0.2261904761904762,8499,7 77 146 166 25 496 -40,0.4444444444444444 0.0 0.0 0.0 0.043478260869565216 0.0 0.024390243902439025,444448.81666077534,0.009523809523809525,7796,9 423 604 658 61 1020 -18,0.6666666666666666 0.829736211031175 0.9462809917355371 0.6516556291390728 0.8260869565217391 0.9757914338919925 0.5609756097560976,759847.6809018796,0.3119047619047619,539,12 249 380 472 40 748 -41,1.0 0.41247002398081534 0.4834710743801653 0.4052980132450331 0.3695652173913043 0.4692737430167598 0.0,1046528.6604142976,0.0761904761904762,790,7 87 206 233 36 580 -38,0.4444444444444444 0.023980815347721823 0.12396694214876033 0.08874172185430464 0.2826086956521739 0.1564245810055866 0.07317073170731707,448200.83540866553,0.009523809523809525,7180,9 297 630 748 59 1033 -38,0.6666666666666666 0.5275779376498801 1.0 0.7708609271523179 0.782608695652174 1.0 0.07317073170731707,730283.6553991038,0.11190476190476191,1574,3 494 600 921 63 1022 -10,0.0 1.0 0.9380165289256198 1.0 0.8695652173913043 0.9795158286778398 0.7560975609756098,110477.6730668431,0.3880952380952381,4797
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s7,15 5 588 1079 1 2127 -42,1.0 0.0 0.12121212121212122 0.25197541703248466 0.0 0.43612334801762115 0.03508771929824561,1001468.4929503532,0.007142857142857143,8266,14 222 705 792 27 1830 -1,0.8 0.7022653721682848 0.47575757575757577 0.0 0.7027027027027027 0.0 0.7543859649122807,875055.1376306395,0.24107142857142858,341,11 196 878 1931 26 2511 -44,0.2 0.6181229773462783 1.0 1.0 0.6756756756756757 1.0 0.0,272889.8653021954,0.23035714285714284,470,14 7 548 815 1 2042 -43,0.8 0.006472491909385114 0.0 0.02019315188762072 0.0 0.31130690161527164 0.017543859649122806,800670.572955702,0.007142857142857143,8772,14 222 790 1304 24 2376 -8,0.8 0.7022653721682848 0.7333333333333333 0.4495171202809482 0.6216216216216216 0.801762114537445 0.631578947368421,878080.1990326977,0.24464285714285713,325,10 314 718 1156 38 2005 13,0.0 1.0 0.5151515151515151 0.31957857769973663 1.0 0.25697503671071953 1.0,105574.663479582,0.35,506,15 5 597 1253 2 2153 -38,1.0 0.0 0.1484848484848485 0.4047410008779631 0.02702702702702703 0.47430249632892807 0.10526315789473684,1001897.1404765503,0.007142857142857143,7772,14 222 705 792 27 1830 -1,0.8 0.7022653721682848 0.47575757575757577 0.0 0.7027027027027027 0.0 0.7543859649122807,875055.1376306395,0.24107142857142858,341,10 314 718 1156 38 2005 13,0.0 1.0 0.5151515151515151 0.31957857769973663 1.0 0.25697503671071953 1.0,105574.663479582,0.35,506
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s4,17 15 1083 1364 8 3707 -8,0.0 0.0 0.8903508771929824 0.8067114093959732 0.03225806451612903 0.994824016563147 0.36363636363636365,9723.757864306679,0.03571428571428571,7413,20 314 880 1181 11 2826 -13,0.75 0.770618556701031 0.0 0.5610738255033557 0.12903225806451613 0.08281573498964803 0.25,827636.9108787627,0.1742857142857143,417,21 302 953 1238 38 2746 20,1.0 0.7396907216494846 0.3201754385964912 0.6375838926174496 1.0 0.0 1.0,1077909.410443531,0.19714285714285715,314,17 16 1105 1378 7 3712 -20,0.0 0.002577319587628866 0.9868421052631579 0.825503355704698 0.0 1.0 0.09090909090909091,10961.747276190072,0.03571428571428571,6942,19 403 925 763 28 2754 9,0.5 1.0 0.19736842105263158 0.0 0.6774193548387096 0.008281573498964804 0.75,602042.2589617452,0.1742857142857143,422,21 302 953 1238 38 2746 20,1.0 0.7396907216494846 0.3201754385964912 0.6375838926174496 1.0 0.0 1.0,1077909.410443531,0.19714285714285715,314,17 17 1108 1508 7 3699 -24,0.0 0.005154639175257732 1.0 1.0 0.0 0.9865424430641822 0.0,11525.329341956414,0.03571428571428571,6569,19 402 925 763 28 2754 9,0.5 0.9974226804123711 0.19736842105263158 0.0 0.6774193548387096 0.008281573498964804 0.75,601784.5270029823,0.1742857142857143,423,21 302 960 1238 38 2746 20,1.0 0.7396907216494846 0.3508771929824561 0.6375838926174496 1.0 0.0 1.0,1078216.4279873904,0.19714285714285715,313
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s6,6 88 487 380 54 1804 48,1.0 0.0041841004184100415 0.15481651376146788 0.007978723404255319 0.0 0.577023498694517 1.0,1001981.3241378468,0.011904761904761904,4387,1 304 1224 1097 229 1896 36,0.16666666666666666 0.9079497907949791 1.0 0.961436170212766 1.0 0.8172323759791122 0.7446808510638298,268531.9989209882,0.29285714285714287,1821,0 308 1181 1001 173 1917 4,0.0 0.9246861924686193 0.9506880733944955 0.8337765957446809 0.68 0.8720626631853786 0.06382978723404255,102886.06103297065,0.20714285714285716,2026,6 87 361 393 56 1613 33,1.0 0.0 0.010321100917431193 0.02526595744680851 0.011428571428571429 0.0783289817232376 0.6808510638297872,1000131.083964645,0.011904761904761904,3803,1 304 1224 1097 229 1892 35,0.16666666666666666 0.9079497907949791 1.0 0.961436170212766 1.0 0.8067885117493473 0.723404255319149,268531.87320575013,0.29285714285714287,1822,1 326 1159 1126 203 1966 1,0.16666666666666666 1.0 0.9254587155963303 1.0 0.8514285714285714 1.0 0.0,277016.39667977276,0.20714285714285716,1978,6 87 352 374 55 1583 24,1.0 0.0 0.0 0.0 0.005714285714285714 0.0 0.48936170212765956,1000001.0607902736,0.011904761904761904,4142,1 304 1224 1097 229 1892 35,0.16666666666666666 0.9079497907949791 1.0 0.961436170212766 1.0 0.8067885117493473 0.723404255319149,268531.87320575013,0.29285714285714287,1822,0 308 1181 1001 173 1917 4,0.0 0.9246861924686193 0.9506880733944955 0.8337765957446809 0.68 0.8720626631853786 0.06382978723404255,102886.06103297065,0.20714285714285716,2026
resolved-p14d-c14d-comp-is/resolved-p14d-c14d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 78 -72,0.0 0.0 0.0 0.0 0.0 0.058823529411764705 0.0,0.5882352941176471,0.07857142857142857,193,0 0 0 0 0 94 -36,0.0 0.0 0.0 0.0 0.0 1.0 0.9473684210526315,10.947368421052632,0.2357142857142857,15,0 0 0 0 0 80 -58,0.0 0.0 0.0 0.0 0.0 0.17647058823529413 0.3684210526315789,2.1331269349845203,0.07857142857142857,126,0 0 0 0 0 77 -55,0.0 0.0 0.0 0.0 0.0 0.0 0.4473684210526316,0.4473684210526316,0.07857142857142857,365,0 0 0 0 0 85 -34,0.0 0.0 0.0 0.0 0.0 0.47058823529411764 1.0,5.705882352941177,0.3392857142857143,42,0 0 0 0 0 79 -49,0.0 0.0 0.0 0.0 0.0 0.11764705882352941 0.6052631578947368,1.781733746130031,0.07857142857142857,274,0 0 0 0 0 80 -66,0.0 0.0 0.0 0.0 0.0 0.17647058823529413 0.15789473684210525,1.9226006191950467,0.07857142857142857,212,0 0 0 0 0 85 -43,0.0 0.0 0.0 0.0 0.0 0.47058823529411764 0.7631578947368421,5.469040247678019,0.29285714285714287,37,0 0 0 0 0 81 -67,0.0 0.0 0.0 0.0 0.0 0.23529411764705882 0.13157894736842105,2.4845201238390096,0.07857142857142857,182
