,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 173 -86,0.0 0.0 0.0 0.0 0.0 0.0 0.02564102564102564,0.02564102564102564,0.05,346,0 0 0 0 0 184 -87,0.0 0.0 0.0 0.0 0.0 0.031609195402298854 0.0,0.3160919540229885,0.6261904761904762,125,0 0 0 0 0 521 -48,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.28809523809523807,59
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s8,42 297 3790 1893 274 6105 -14,1.0 0.4166666666666667 0.9235772357723577 1.0 0.20754716981132076 1.0 0.0,1051933.1937413714,0.01,2873,6 325 3837 1312 263 5576 65,0.0 1.0 1.0 0.33141542002301494 0.0 0.0 1.0,110332.41542002301,0.8157142857142857,4011,15 277 3222 1024 316 5657 41,0.25 0.0 0.0 0.0 1.0 0.15311909262759923 0.6962025316455697,250102.2273934579,0.7914285714285715,5206
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s3,22 29 3419 11999 6 9731 -7,0.0 1.0 0.0 0.0 1.0 0.0 1.0,100101.0,0.6014285714285714,4719,22 9 3429 13059 4 9956 -37,0.0 0.047619047619047616 0.045454545454545456 0.19853905225697696 0.3333333333333333 0.39893617021276595 0.7945205479452054,5453.1064842906,0.6457142857142857,6081,22 8 3639 17338 3 10295 -153,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.6457142857142857,5808
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s8,1 2 0 2 0 89 -21,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.03571428571428571,3574,0 1 112 41 4 493 15,0.0 0.0 1.0 0.7647058823529411 0.26666666666666666 1.0 1.0,10802.372549019607,0.7142857142857143,30468,0 2 34 53 15 465 -4,0.0 1.0 0.30357142857142855 1.0 1.0 0.9306930693069307 0.4722222222222222,104145.49343862958,0.42857142857142855,27977
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s5,9 7 217 344 18 1276 31,1.0 1.0 0.0 0.0 0.48484848484848486 0.0 0.0,1100048.4848484849,0.01904761904761905,6761,0 0 590 4025 2 2394 45,0.0 0.0 1.0 1.0 0.0 1.0 0.21875,11010.21875,0.6452380952380953,4138,0 0 521 860 35 2003 95,0.0 0.0 0.8150134048257373 0.1401792991035045 1.0 0.6502683363148479 1.0,8397.816030724025,0.6404761904761904,4657
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s9,7 111 287 280 54 584 -40,0.0 0.0 1.0 1.0 1.0 0.0 0.0,11100.0,0.009523809523809525,6752,16 214 127 193 33 1008 39,0.6923076923076923 0.6776315789473685 0.047619047619047616 0.0 0.045454545454545456 1.0 1.0,760562.586133165,0.6452380952380953,11534,20 263 119 206 32 787 36,1.0 1.0 0.0 0.14942528735632185 0.0 0.47877358490566035 0.9620253164556962,1100155.175048522,0.6357142857142857,11973
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s7,7 69 1296 4009 23 4570 139,1.0 1.0 0.0 0.8765147143681478 0.22727272727272727 0.0 1.0,1100900.2419870954,0.6267857142857143,5290,3 30 1359 2490 40 4659 139,0.2 0.0 1.0 0.0 1.0 1.0 1.0,210111.0,0.6678571428571428,7071,2 50 1297 4223 18 4597 130,0.0 0.5128205128205128 0.015873015873015872 1.0 0.0 0.30337078651685395 0.0,52443.8151486466,0.6410714285714286,5015
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s4,15 13 2919 13910 0 9158 13,1.0 0.0 1.0 1.0 0.0 1.0 0.0,1011010.0,0.6157142857142858,6462,9 259 1680 6256 23 5964 137,0.0 1.0 0.03804347826086957 0.04121257672554177 1.0 0.012368583797155226 1.0,100522.7710451722,0.6985714285714286,4136,14 224 1631 5927 15 5924 132,0.8333333333333334 0.8577235772357723 0.0 0.0 0.6521739130434783 0.0 0.9596774193548387,919171.8681256343,0.66,3524
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s6,13 207 773 904 132 1684 27,1.0 0.0 0.0 0.6 0.7666666666666667 0.1615720524017467 0.0,1000678.2823871906,0.011904761904761904,5391,8 239 1236 966 139 1876 67,0.0 0.27350427350427353 1.0 1.0 1.0 1.0 1.0,38461.42735042735,0.7761904761904762,8131,11 324 1185 811 109 1647 57,0.6 1.0 0.8898488120950324 0.0 0.0 0.0 0.75,708899.2381209503,0.7833333333333333,6313
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 81 -76,0.0 0.0 0.0 0.0 0.0 0.75 0.0,7.5,0.07857142857142857,320,0 0 0 0 0 78 -71,0.0 0.0 0.0 0.0 0.0 0.0 0.12195121951219512,0.12195121951219512,0.6285714285714286,145,0 0 0 0 0 82 -35,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.07857142857142857,431
