,lnps-10-org-obj,lnps-10-nrm-obj,lnps-10-obj,lnps-10-diff,lnps-10-freq,lnps-30-org-obj,lnps-30-nrm-obj,lnps-30-obj,lnps-30-diff,lnps-30-freq,lnps-60-org-obj,lnps-60-nrm-obj,lnps-60-obj,lnps-60-diff,lnps-60-freq,mp-is-p-hi-org-obj,mp-is-p-hi-nrm-obj,mp-is-p-hi-obj,mp-is-p-hi-diff,mp-is-p-hi-freq,mp-is-p-low-org-obj,mp-is-p-low-nrm-obj,mp-is-p-low-obj,mp-is-p-low-diff,mp-is-p-low-freq,mp-is-p-mid-org-obj,mp-is-p-mid-nrm-obj,mp-is-p-mid-obj,mp-is-p-mid-diff,mp-is-p-mid-freq,mp-p-hi-org-obj,mp-p-hi-nrm-obj,mp-p-hi-obj,mp-p-hi-diff,mp-p-hi-freq,mp-p-low-org-obj,mp-p-low-nrm-obj,mp-p-low-obj,mp-p-low-diff,mp-p-low-freq,mp-p-mid-org-obj,mp-p-mid-nrm-obj,mp-p-mid-obj,mp-p-mid-diff,mp-p-mid-freq
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 122 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.1976190476190476,311,0 0 0 0 0 155 -90,0.0 0.0 0.0 0.0 0.0 0.08270676691729323 0.3114754098360656,1.1385430790089979,0.12380952380952381,224,0 0 0 0 0 145 -105,0.0 0.0 0.0 0.0 0.0 0.05764411027568922 0.06557377049180328,0.6420148732486954,0.09523809523809523,249,0 0 0 0 0 144 -106,0.0 0.0 0.0 0.0 0.0 0.05513784461152882 0.04918032786885246,0.6005587739841407,0.05,178,0 0 0 0 0 178 -79,0.0 0.0 0.0 0.0 0.0 0.14035087719298245 0.4918032786885246,1.8953120506183492,0.3333333333333333,13,0 0 0 0 0 158 -91,0.0 0.0 0.0 0.0 0.0 0.09022556390977443 0.29508196721311475,1.197337606310859,0.05,136,0 0 0 0 0 430 -53,0.0 0.0 0.0 0.0 0.0 0.7719298245614035 0.9180327868852459,8.63733103249928,0.1880952380952381,141,0 0 0 0 0 184 -87,0.0 0.0 0.0 0.0 0.0 0.15538847117794485 0.36065573770491804,1.9145404494843665,0.6261904761904762,125,0 0 0 0 0 521 -48,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.28809523809523807,59
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s8,29 102 3727 4005 153 8407 -171,0.6285714285714286 0.0 0.4739538855678907 0.9859980462390101 0.0 0.9940357852882704 0.0,634306.9058311993,0.01,7578,29 102 3727 4021 153 8407 -168,0.6285714285714286 0.0 0.4739538855678907 0.9912080755454249 0.0 0.9940357852882704 0.013100436681222707,634312.1289609423,0.01,7500,29 102 3752 4048 153 8425 -168,0.6285714285714286 0.0 0.49530315969257044 1.0 0.0 1.0 0.013100436681222707,634534.4732687909,0.01,7187,22 109 3247 1676 170 7479 -37,0.42857142857142855 0.017114914425427872 0.06404782237403928 0.2276131553239987 0.08292682926829269 0.6865473823724321 0.5851528384279476,431166.75470262475,0.01,3269,21 425 3365 1023 259 5407 11,0.4 0.7897310513447433 0.16481639624252775 0.014978834255942689 0.5170731707317073 0.0 0.7947598253275109,480688.7500080541,0.11571428571428571,1051,24 511 4343 1517 358 6119 7,0.4857142857142857 1.0 1.0 0.17583848909150113 1.0 0.23591782637508282 0.777292576419214,595993.2606742173,0.3142857142857143,1011,42 297 3774 1942 272 6073 -18,1.0 0.4767726161369193 0.5140905209222887 0.31422989254314554 0.5804878048780487 0.220675944333996 0.6681222707423581,1053193.3203776598,0.01,2898,7 302 3873 1275 254 5631 58,0.0 0.4889975550122249 0.5986336464560205 0.09703679583197655 0.4926829268292683 0.07422133863485753 1.0,55034.13926768395,0.8157142857142857,3841,16 216 3172 977 312 5680 42,0.2571428571428571 0.2787286063569682 0.0 0.0 0.775609756097561 0.09045725646123261 0.9301310043668122,285095.11345773266,0.7914285714285715,5119
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s3,15 20 1310 1048 1 3966 -133,0.0 0.028350515463917526 0.023909395973154363 0.015863293930299505 0.0 0.06864481842338352 0.18471337579617833,3090.879961613626,0.012857142857142857,7297,15 20 1310 1051 2 3966 -133,0.0 0.028350515463917526 0.023909395973154363 0.01604703864763888 0.023809523809523808 0.06864481842338352 0.18471337579617833,3093.444658711918,0.012857142857142857,7283,15 18 1292 950 1 3894 -120,0.0 0.023195876288659795 0.016359060402684564 0.009860966497213205 0.0 0.058015943312666074 0.267515923566879,2493.8868747467313,0.012857142857142857,7509,17 12 1372 836 1 4364 -41,0.2857142857142857 0.007731958762886598 0.04991610738255033 0.0028786672383168985 0.0 0.12739887806318276 0.7707006369426752,286991.56602105574,0.012857142857142857,5949,18 397 1253 789 43 3501 -16,0.42857142857142855 1.0 0.0 0.0 1.0 0.0 0.9299363057324841,528672.3585077343,0.23857142857142857,393,18 397 1253 789 43 3501 -16,0.42857142857142855 1.0 0.0 0.0 1.0 0.0 0.9299363057324841,528672.3585077343,0.23857142857142857,393,21 31 3368 11922 6 9633 -5,0.8571428571428571 0.05670103092783505 0.8871644295302014 0.6818766460464262 0.11904761904761904 0.9052258635961028 1.0,872388.4381975296,0.6014285714285714,4825,22 9 3463 13051 5 10018 -31,1.0 0.0 0.927013422818792 0.7510259080051449 0.09523809523809523 0.9620608207853558 0.8343949044585988,1010041.1389488293,0.6457142857142857,6066,21 9 3637 17116 2 10275 -162,0.8571428571428571 0.0 1.0 1.0 0.023809523809523808 1.0 0.0,868155.238095238,0.6457142857142857,6013
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s8,0 1 0 2 0 82 -34,0.0 0.0 0.0 0.0 0.0 0.004651162790697674 0.0,0.046511627906976744,0.2785714285714286,8576,0 1 0 2 0 80 -30,0.0 0.0 0.0 0.0 0.0 0.0 0.12121212121212122,0.12121212121212122,0.32142857142857145,8543,0 1 0 2 0 86 -25,0.0 0.0 0.0 0.0 0.0 0.013953488372093023 0.2727272727272727,0.41226215644820297,0.19285714285714287,8524,1 2 0 2 0 87 -13,1.0 0.14285714285714285 0.0 0.0 0.0 0.01627906976744186 0.6363636363636364,1014286.5134400483,0.03571428571428571,3494,0 1 0 2 0 109 -21,0.0 0.0 0.0 0.0 0.0 0.06744186046511629 0.3939393939393939,1.0683579985905567,0.40714285714285714,20654,0 1 0 2 0 96 -17,0.0 0.0 0.0 0.0 0.0 0.037209302325581395 0.5151515151515151,0.8872445384073291,0.06428571428571428,7322,1 2 0 2 0 89 -21,1.0 0.14285714285714285 0.0 0.0 0.0 0.020930232558139535 0.3939393939393939,1014286.3175274339,0.03571428571428571,3574,0 8 54 28 5 510 -1,0.0 1.0 1.0 0.4482758620689655 0.3333333333333333 1.0 1.0,110492.6091954023,0.7142857142857143,28699,0 2 34 60 15 475 -2,0.0 0.14285714285714285 0.6296296296296297 1.0 1.0 0.9186046511627907 0.9696969696969697,21692.166325491908,0.42857142857142855,27849
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s5,13 4 496 2768 10 2111 -71,1.0 0.5714285714285714 0.8347639484978541 0.6909041394335512 0.24242424242424243 0.8261943986820428 0.005917159763313609,1066213.9110526582,0.01904761904761905,12099,13 4 497 2848 10 2105 -72,1.0 0.5714285714285714 0.8369098712446352 0.7126906318082789 0.24242424242424243 0.8212520593080724 0.0,1066257.1014319472,0.01904761904761905,11337,13 4 497 2849 10 2104 -72,1.0 0.5714285714285714 0.8369098712446352 0.7129629629629629 0.24242424242424243 0.8204283360790774 0.0,1066257.3655258697,0.01904761904761905,11329,9 5 107 231 22 1108 17,0.6923076923076923 0.7142857142857143 0.0 0.0 0.6060606060606061 0.0 0.5266272189349113,763797.3964240887,0.01904761904761905,5606,13 4 496 2890 8 2062 -63,1.0 0.5714285714285714 0.8347639484978541 0.724128540305011 0.18181818181818182 0.785831960461285 0.05325443786982249,1066240.7185603648,0.01904761904761905,12634,13 4 432 2735 10 1957 -55,1.0 0.5714285714285714 0.6974248927038627 0.681917211328976 0.24242424242424243 0.699341021416804 0.10059171597633136,1064830.359707397,0.01904761904761905,14792,9 7 216 346 18 1300 42,0.6923076923076923 1.0 0.23390557939914164 0.03131808278867102 0.48484848484848486 0.15815485996705106 0.6745562130177515,794728.8071377699,0.01904761904761905,6788,0 0 573 3903 2 2322 36,0.0 0.0 1.0 1.0 0.0 1.0 0.6390532544378699,11010.639053254437,0.6404761904761904,4349,0 0 528 915 35 2035 97,0.0 0.0 0.9034334763948498 0.18627450980392157 1.0 0.7635914332784185 1.0,9329.245188085204,0.6404761904761904,4561
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s9,0 87 65 157 27 344 -49,0.0 0.0 0.0 0.0 0.08695652173913043 0.0 0.0,8.695652173913043,0.030952380952380953,11459,10 94 69 170 24 366 -48,0.47619047619047616 0.02348993288590604 0.009708737864077669 0.021666666666666667 0.021739130434782608 0.03442879499217527 0.012048192771084338,478660.7537735604,0.009523809523809525,12137,10 94 68 170 25 357 -45,0.47619047619047616 0.02348993288590604 0.007281553398058253 0.021666666666666667 0.043478260869565216 0.02034428794992175 0.04819277108433735,478638.55114145164,0.009523809523809525,13375,9 122 270 245 40 568 -33,0.42857142857142855 0.1174496644295302 0.4975728155339806 0.14666666666666667 0.3695652173913043 0.350547730829421 0.1927710843373494,445479.44460651977,0.009523809523809525,8143,6 385 477 757 69 804 -25,0.2857142857142857 1.0 1.0 1.0 1.0 0.7198748043818466 0.2891566265060241,396821.773618956,0.2833333333333333,3646,9 279 297 241 23 640 0,0.42857142857142855 0.6442953020134228 0.5631067961165048 0.14 0.0 0.46322378716744916 0.5903614457831325,498777.24933325336,0.2261904761904762,8499,7 111 288 269 54 584 -46,0.3333333333333333 0.08053691275167785 0.5412621359223301 0.18666666666666668 0.6739130434782609 0.3755868544600939 0.03614457831325301,347057.4959518619,0.009523809523809525,6747,16 215 126 189 32 983 34,0.7619047619047619 0.42953020134228187 0.14805825242718446 0.05333333333333334 0.1956521739130435 1.0 1.0,806422.2631139866,0.6452380952380953,11390,21 263 117 205 32 787 33,1.0 0.5906040268456376 0.1262135922330097 0.08 0.1956521739130435 0.6932707355242567 0.9879518072289156,1060430.024483448,0.6357142857142857,11743
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s7,3 1 444 1717 4 2040 -61,0.07142857142857142 0.0 0.0 0.27205882352941174 0.07692307692307693 0.073196235622168 0.0,71709.05452214937,0.044642857142857144,5440,16 5 663 1343 20 2195 -57,1.0 0.01809954751131222 0.2372697724810401 0.16205882352941176 0.48717948717948717 0.12722202858138723 0.01990049751243781,1004394.7213689724,0.007142857142857143,9232,16 5 663 1346 23 2200 -58,1.0 0.01809954751131222 0.2372697724810401 0.16294117647058823 0.5641025641025641 0.12896479609620076 0.014925373134328358,1004403.3084821566,0.007142857142857143,9082,15 5 588 1079 1 2127 -42,0.9285714285714286 0.01809954751131222 0.1560130010834236 0.08441176470588235 0.0 0.10352039037992332 0.0945273631840796,932027.054829367,0.007142857142857143,8266,14 222 705 792 27 1830 -1,0.8571428571428571 1.0 0.28277356446370533 0.0 0.6666666666666666 0.0 0.29850746268656714,960037.5579616234,0.24107142857142858,341,11 196 878 1931 26 2511 -44,0.6428571428571429 0.8823529411764706 0.47020585048754066 0.335 0.6410256410256411 0.23736493551760196 0.0845771144278607,736196.0562702377,0.23035714285714284,470,8 60 1342 4192 22 4681 120,0.42857142857142855 0.2669683257918552 0.9729144095341279 1.0 0.5384615384615384 0.9937260369466713 0.900497512437811,466062.08915768337,0.6267857142857143,5004,4 34 1367 2491 40 4699 137,0.14285714285714285 0.1493212669683258 1.0 0.49970588235294117 1.0 1.0 0.9850746268656716,168399.96051095522,0.6678571428571428,6721,2 42 1248 3589 23 4447 140,0.0 0.18552036199095023 0.8710725893824486 0.8226470588235294 0.5641025641025641 0.9121645172533984 1.0,28151.941053325827,0.6428571428571429,5312
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s4,20 18 1550 1928 1 4977 -49,0.9090909090909091 0.016611295681063124 0.33070088845014806 0.06213608384628182 0.0 0.3499607843137255 0.08695652173913043,914124.770191728,0.03571428571428571,6916,21 18 1621 2290 2 5094 -67,1.0 0.016611295681063124 0.3657453109575518 0.0922475461653635 0.02702702702702703 0.3683137254901961 0.0,1005417.2160638048,0.03571428571428571,6362,20 18 1614 2199 2 5110 -58,0.9090909090909091 0.016611295681063124 0.36229022704837116 0.08467809016802529 0.02702702702702703 0.3708235294117647 0.043478260869565216,914466.0734359247,0.03571428571428571,6543,17 15 1083 1364 8 3707 -8,0.6363636363636364 0.006644518272425249 0.10019743336623889 0.015222092829812012 0.1891891891891892 0.15074509803921568 0.28502415458937197,638065.9960114249,0.03571428571428571,7413,20 314 880 1181 11 2826 -13,0.9090909090909091 1.0 0.0 0.0 0.2702702702702703 0.012549019607843137 0.2608695652173913,1009118.3224776973,0.1742857142857143,417,21 302 953 1238 38 2746 20,1.0 0.9601328903654485 0.03603158933859822 0.004741307602728332 1.0 0.0 0.42028985507246375,1096478.7665273885,0.19714285714285715,314,15 13 2906 13203 1 9121 41,0.45454545454545453 0.0 1.0 1.0 0.0 1.0 0.5217391304347826,465555.97628458496,0.6157142857142858,6509,10 241 1713 6782 18 6033 140,0.0 0.7574750830564784 0.41115498519249755 0.46589585759441027 0.4594594594594595 0.5156078431372549 1.0,80377.05603954455,0.6985714285714286,3682,14 224 1658 5999 13 5942 128,0.36363636363636365 0.7009966777408638 0.3840078973346496 0.4007652636832474 0.32432432432432434 0.5013333333333333 0.9420289855072463,438015.263442231,0.66,3360
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s6,7 88 482 569 53 1909 -12,0.5384615384615384 0.0 0.02891566265060241 0.26359832635983266 0.01675977653631285 0.953405017921147 0.0,539025.503442237,0.011904761904761904,10353,7 88 482 503 53 1908 -5,0.5384615384615384 0.0 0.02891566265060241 0.17154811715481172 0.01675977653631285 0.9498207885304659 0.09859154929577464,538933.5159822875,0.011904761904761904,10418,6 94 458 458 50 1866 -4,0.46153846153846156 0.02575107296137339 0.0 0.1087866108786611 0.0 0.7992831541218638 0.11267605633802817,464230.4609530751,0.011904761904761904,11028,6 88 487 380 54 1804 48,0.46153846153846156 0.0 0.03493975903614458 0.0 0.0223463687150838 0.5770609318996416 0.8450704225352113,461896.70944543596,0.011904761904761904,4387,1 304 1224 1097 229 1896 36,0.07692307692307693 0.927038626609442 0.9228915662650602 1.0 1.0 0.9068100358422939 0.676056338028169,179965.59940336816,0.29285714285714287,1821,0 308 1181 1001 173 1917 4,0.0 0.944206008583691 0.8710843373493976 0.8661087866108786 0.6871508379888268 0.982078853046595 0.22535211267605634,104076.31424291598,0.20714285714285716,2026,13 204 777 889 133 1696 25,1.0 0.4978540772532189 0.38433734939759034 0.7099023709902371 0.46368715083798884 0.18996415770609318 0.5211267605633803,1054387.4730737095,0.011904761904761904,5542,8 238 1288 971 141 1922 59,0.6153846153846154 0.6437768240343348 1.0 0.8242677824267782 0.5083798882681564 1.0 1.0,690648.4035593024,0.7761904761904762,8270,11 321 1124 788 111 1643 53,0.8461538461538461 1.0 0.8024096385542169 0.5690376569037657 0.3407821229050279 0.0 0.9154929577464789,954781.9739015403,0.7833333333333333,6659
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 56 -63,0.0 0.0 0.0 0.0 0.0 0.11627906976744186 0.3170731707317073,1.479863868406126,0.19285714285714287,201,0 0 0 0 0 51 -52,0.0 0.0 0.0 0.0 0.0 0.0 0.5853658536585366,0.5853658536585366,0.19285714285714287,256,0 0 0 0 0 64 -56,0.0 0.0 0.0 0.0 0.0 0.3023255813953488 0.4878048780487805,3.511060692002269,0.16071428571428573,215,0 0 0 0 0 78 -72,0.0 0.0 0.0 0.0 0.0 0.627906976744186 0.0975609756097561,6.376630743051617,0.07857142857142857,193,0 0 0 0 0 94 -36,0.0 0.0 0.0 0.0 0.0 1.0 0.975609756097561,10.975609756097562,0.2357142857142857,15,0 0 0 0 0 80 -58,0.0 0.0 0.0 0.0 0.0 0.6744186046511628 0.43902439024390244,7.18321043675553,0.07857142857142857,126,0 0 0 0 0 81 -76,0.0 0.0 0.0 0.0 0.0 0.6976744186046512 0.0,6.976744186046512,0.07857142857142857,320,0 0 0 0 0 78 -71,0.0 0.0 0.0 0.0 0.0 0.627906976744186 0.12195121951219512,6.401020986954056,0.6285714285714286,145,0 0 0 0 0 82 -35,0.0 0.0 0.0 0.0 0.0 0.7209302325581395 1.0,8.209302325581394,0.07857142857142857,431
