,mp-is1-p-hi-org-obj,mp-is1-p-hi-nrm-obj,mp-is1-p-hi-obj,mp-is1-p-hi-diff,mp-is1-p-hi-freq,mp-is1-p-low-org-obj,mp-is1-p-low-nrm-obj,mp-is1-p-low-obj,mp-is1-p-low-diff,mp-is1-p-low-freq,mp-is1-p-mid-org-obj,mp-is1-p-mid-nrm-obj,mp-is1-p-mid-obj,mp-is1-p-mid-diff,mp-is1-p-mid-freq,mp-is10-p-hi-org-obj,mp-is10-p-hi-nrm-obj,mp-is10-p-hi-obj,mp-is10-p-hi-diff,mp-is10-p-hi-freq,mp-is10-p-low-org-obj,mp-is10-p-low-nrm-obj,mp-is10-p-low-obj,mp-is10-p-low-diff,mp-is10-p-low-freq,mp-is10-p-mid-org-obj,mp-is10-p-mid-nrm-obj,mp-is10-p-mid-obj,mp-is10-p-mid-diff,mp-is10-p-mid-freq,mp-is100-p-hi-org-obj,mp-is100-p-hi-nrm-obj,mp-is100-p-hi-obj,mp-is100-p-hi-diff,mp-is100-p-hi-freq,mp-is100-p-low-org-obj,mp-is100-p-low-nrm-obj,mp-is100-p-low-obj,mp-is100-p-low-diff,mp-is100-p-low-freq,mp-is100-p-mid-org-obj,mp-is100-p-mid-nrm-obj,mp-is100-p-mid-obj,mp-is100-p-mid-diff,mp-is100-p-mid-freq
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 241 -61,0.0 0.0 0.0 0.0 0.0 0.6486486486486487 1.0,7.486486486486487,0.15595238095238095,7,0 0 0 0 0 193 -88,0.0 0.0 0.0 0.0 0.0 0.21621621621621623 0.0,2.1621621621621623,0.28214285714285714,4,0 0 0 0 0 233 -74,0.0 0.0 0.0 0.0 0.0 0.5765765765765766 0.5185185185185185,6.284284284284284,0.14285714285714285,17,0 0 0 0 0 232 -70,0.0 0.0 0.0 0.0 0.0 0.5675675675675675 0.6666666666666666,6.342342342342342,0.1357142857142857,19,0 0 0 0 0 176 -82,0.0 0.0 0.0 0.0 0.0 0.06306306306306306 0.2222222222222222,0.8528528528528528,0.3357142857142857,6,0 0 0 0 0 253 -69,0.0 0.0 0.0 0.0 0.0 0.7567567567567568 0.7037037037037037,8.271271271271273,0.15,20,0 0 0 0 0 245 -73,0.0 0.0 0.0 0.0 0.0 0.6846846846846847 0.5555555555555556,7.402402402402402,0.15357142857142858,22,0 0 0 0 0 169 -87,0.0 0.0 0.0 0.0 0.0 0.0 0.037037037037037035,0.037037037037037035,0.3904761904761905,3,0 0 0 0 0 280 -74,0.0 0.0 0.0 0.0 0.0 1.0 0.5185185185185185,10.518518518518519,0.14642857142857144,9
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,33 208 3761 1524 439 6250 -21,1.0 0.0 0.2735949098621421 0.202365308804205 0.8699186991869918 0.8426966292134831 0.4444444444444444,1003034.1776880808,0.008571428571428572,1,30 217 3632 1519 439 6048 -29,0.5714285714285714 0.04411764705882353 0.13679745493107104 0.19579500657030224 0.8699186991869918 0.5184590690208668 0.14814814814814814,577496.4302990919,0.02214285714285714,112,26 378 4429 2131 442 6348 -14,0.0 0.8333333333333334 0.9819724284199364 1.0 0.8943089430894309 1.0 0.7037037037037037,94253.19221554535,0.22714285714285715,213,33 208 3761 1524 439 6250 -21,1.0 0.0 0.2735949098621421 0.202365308804205 0.8699186991869918 0.8426966292134831 0.4444444444444444,1003034.1776880808,0.008571428571428572,1,30 271 3878 1638 423 6164 -19,0.5714285714285714 0.3088235294117647 0.39766702014846234 0.35216819973718794 0.7398373983739838 0.7046548956661316 0.5185185185185185,606721.3115782823,0.09357142857142857,105,32 264 3503 1370 374 5725 -33,0.8571428571428571 0.27450980392156865 0.0 0.0 0.34146341463414637 0.0 0.0,884627.9838764773,0.10285714285714286,48,33 208 3761 1524 439 6250 -21,1.0 0.0 0.2735949098621421 0.202365308804205 0.8699186991869918 0.8426966292134831 0.4444444444444444,1003034.1776880808,0.008571428571428572,1,31 399 3671 1794 332 5959 -6,0.7142857142857143 0.9362745098039216 0.17815482502651114 0.557161629434954 0.0 0.3756019261637239 1.0,810256.6311650681,0.27,425,29 412 4446 1994 455 6018 -15,0.42857142857142855 1.0 1.0 0.8199737187910644 1.0 0.47030497592295345 0.6666666666666666,539496.7720066454,0.27714285714285714,205
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,30 11 2 22 0 457 -130,1.0 0.02564102564102564 0.03333333333333333 0.09090909090909091 0.0 0.0 0.4666666666666667,1002988.8116550117,0.015,1,26 20 31 51 3 537 -137,0.2 0.2564102564102564 1.0 0.6181818181818182 1.0 1.0 0.0,236369.20745920745,0.05,375,25 14 2 19 0 464 -133,0.0 0.10256410256410256 0.03333333333333333 0.03636363636363636 0.0 0.0875 0.26666666666666666,10627.248892773892,0.02,124,30 11 2 22 0 457 -130,1.0 0.02564102564102564 0.03333333333333333 0.09090909090909091 0.0 0.0 0.4666666666666667,1002988.8116550117,0.015,1,26 10 3 32 1 531 -127,0.2 0.0 0.06666666666666667 0.2727272727272727 0.3333333333333333 0.925 0.6666666666666666,200982.64393939392,0.03428571428571429,311,26 29 1 17 0 498 -130,0.2 0.48717948717948717 0.0 0.0 0.0 0.5125 0.4666666666666667,248723.5403846154,0.04857142857142857,174,30 11 2 22 0 457 -130,1.0 0.02564102564102564 0.03333333333333333 0.09090909090909091 0.0 0.0 0.4666666666666667,1002988.8116550117,0.015,1,27 49 25 72 3 535 -122,0.4 1.0 0.8 1.0 1.0 0.975 1.0,509110.75,0.05071428571428571,265,26 13 3 25 0 479 -128,0.2 0.07692307692307693 0.06666666666666667 0.14545454545454545 0.0 0.275 0.6,208507.7789044289,0.022857142857142857,188
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,4 6 0 11 0 79 -16,1.0 1.0 0.0 1.0 0.0 0.0 0.45454545454545453,1101000.4545454546,0.025,1,0 1 0 2 0 98 -10,0.0 0.0 0.0 0.0 0.0 0.76 1.0,8.6,0.37857142857142856,1310,0 1 0 2 0 104 -19,0.0 0.0 0.0 0.0 0.0 1.0 0.18181818181818182,10.181818181818182,0.09285714285714286,573,4 6 0 11 0 79 -16,1.0 1.0 0.0 1.0 0.0 0.0 0.45454545454545453,1101000.4545454546,0.025,1,0 1 0 2 0 97 -21,0.0 0.0 0.0 0.0 0.0 0.72 0.0,7.199999999999999,0.20357142857142857,793,0 1 0 2 0 104 -21,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.09285714285714286,554,4 6 0 11 0 79 -16,1.0 1.0 0.0 1.0 0.0 0.0 0.45454545454545453,1101000.4545454546,0.025,1,0 1 0 2 0 99 -19,0.0 0.0 0.0 0.0 0.0 0.8 0.18181818181818182,8.181818181818182,0.5178571428571429,1650,0 1 0 2 0 104 -21,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.09285714285714286,935
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,14 4 3 170 22 1091 28,1.0 0.0 0.0 0.0 0.0 0.0 1.0,1000001.0,0.014285714285714285,1,5 143 189 482 46 1742 19,0.18181818181818182 0.8034682080924855 0.6038961038961039 0.9043478260869565 0.6486486486486487 0.857707509881423 0.5,269182.253432442,0.21428571428571427,1570,6 138 121 289 47 1428 15,0.2727272727272727 0.7745664739884393 0.38311688311688313 0.34492753623188405 0.6756756756756757 0.4440052700922266 0.2777777777777778,354432.3018915636,0.25357142857142856,1508,14 4 3 170 22 1091 28,1.0 0.0 0.0 0.0 0.0 0.0 1.0,1000001.0,0.014285714285714285,1,5 177 311 515 59 1850 10,0.18181818181818182 1.0 1.0 1.0 1.0 1.0 0.0,292928.1818181818,0.31785714285714284,1472,3 144 181 385 49 1597 18,0.0 0.8092485549132948 0.577922077922078 0.6231884057971014 0.7297297297297297 0.6666666666666666 0.4444444444444444,87407.34876043144,0.22142857142857142,2902,14 4 3 170 22 1091 28,1.0 0.0 0.0 0.0 0.0 0.0 1.0,1000001.0,0.014285714285714285,1,3 125 167 329 54 1734 27,0.0 0.6994219653179191 0.5324675324675324 0.4608695652173913 0.8648648648648649 0.847167325428195 0.9444444444444444,75823.64402586983,0.2619047619047619,1252,7 144 248 325 48 1783 21,0.36363636363636365 0.8092485549132948 0.7954545454545454 0.4492753623188406 0.7027027027027027 0.9117259552042161 0.6111111111111112,453045.0385854909,0.3047619047619048,757
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,17 2 0 5 0 97 -79,1.0 0.0 0.0 0.0 0.0 0.0 0.046875,1000000.046875,0.008333333333333333,1,2 208 340 397 48 667 -37,0.0 1.0 1.0 1.0 1.0 1.0 0.703125,111110.703125,0.3547619047619048,925,2 44 110 119 10 438 -56,0.0 0.20388349514563106 0.3235294117647059 0.29081632653061223 0.20833333333333334 0.5982456140350877 0.40625,23941.681998214463,0.19166666666666668,804,17 2 0 5 0 97 -79,1.0 0.0 0.0 0.0 0.0 0.0 0.046875,1000000.046875,0.008333333333333333,1,10 15 5 23 0 130 -73,0.5333333333333333 0.06310679611650485 0.014705882352941176 0.04591836734693878 0.0 0.05789473684210526 0.140625,539837.7097082287,0.0380952380952381,550,4 153 110 248 20 543 -18,0.13333333333333333 0.7330097087378641 0.3235294117647059 0.6198979591836735 0.4166666666666667 0.7824561403508772 1.0,210539.98751202063,0.3476190476190476,533,17 2 0 5 0 97 -79,1.0 0.0 0.0 0.0 0.0 0.0 0.046875,1000000.046875,0.008333333333333333,1,11 29 5 29 0 133 -72,0.6 0.13106796116504854 0.014705882352941176 0.061224489795918366 0.0 0.06315789473684211 0.15625,613315.8672587776,0.030952380952380953,192,7 7 16 49 7 208 -82,0.3333333333333333 0.024271844660194174 0.047058823529411764 0.11224489795918367 0.14583333333333334 0.19473684210526315 0.0,336359.88163436035,0.06547619047619048,219
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,27 7 1 17 0 212 -104,1.0 0.0 0.0015772870662460567 0.0 0.0 0.0 0.046153846153846156,1000015.8190245087,0.0125,1,16 275 277 425 31 932 -59,0.15384615384615385 0.5317460317460317 0.43690851735015773 0.44541484716157204 0.543859649122807 0.7243460764587525 0.7384615384615385,211897.62492863546,0.27053571428571427,4485,24 11 0 21 0 227 -107,0.7692307692307693 0.007936507936507936 0.0 0.004366812227074236 0.0 0.015090543259557344 0.0,770028.9377420797,0.025,891,27 7 1 17 0 212 -104,1.0 0.0 0.0015772870662460567 0.0 0.0 0.0 0.046153846153846156,1000015.8190245087,0.0125,1,25 19 15 53 1 286 -105,0.8461538461538461 0.023809523809523808 0.02365930599369085 0.039301310043668124 0.017543859649122806 0.0744466800804829 0.03076923076923077,848813.2225267757,0.05,783,24 35 12 56 1 256 -102,0.7692307692307693 0.05555555555555555 0.01892744479495268 0.0425764192139738 0.017543859649122806 0.04426559356136821 0.07692307692307693,775020.4496184657,0.044642857142857144,1443,27 7 1 17 0 212 -104,1.0 0.0 0.0015772870662460567 0.0 0.0 0.0 0.046153846153846156,1000015.8190245087,0.0125,1,14 511 634 933 57 1206 -42,0.0 1.0 1.0 1.0 1.0 1.0 1.0,111111.0,0.4875,4914,23 12 39 34 6 250 -102,0.6923076923076923 0.00992063492063492 0.061514195583596214 0.018558951965065504 0.10526315789473684 0.03822937625754527 0.07692307692307693,693944.4422401857,0.029464285714285714,792
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,18 24 1 21 0 325 -82,1.0 0.004424778761061947 0.0 0.0481283422459893 0.0 0.0 0.0425531914893617,1000490.6487715436,0.02214285714285714,1,17 46 9 46 1 359 -78,0.75 0.10176991150442478 0.07207207207207207 0.18181818181818182 0.06666666666666667 0.08056872037914692 0.1276595744680851,761087.1300664264,0.04071428571428572,387,15 36 6 43 0 373 -83,0.25 0.05752212389380531 0.04504504504504504 0.1657754010695187 0.0 0.11374407582938388 0.02127659574468085,256369.59695825452,0.037142857142857144,547,18 24 1 21 0 325 -82,1.0 0.004424778761061947 0.0 0.0481283422459893 0.0 0.0 0.0425531914893617,1000490.6487715436,0.02214285714285714,1,17 35 8 40 0 368 -84,0.75 0.05309734513274336 0.06306306306306306 0.1497326203208556 0.0 0.1018957345971564 0.0,756091.1167215719,0.03857142857142857,228,18 23 1 12 0 337 -77,1.0 0.0 0.0 0.0 0.0 0.02843601895734597 0.14893617021276595,1000000.4332963598,0.030714285714285715,78,18 24 1 21 0 325 -82,1.0 0.004424778761061947 0.0 0.0481283422459893 0.0 0.0 0.0425531914893617,1000490.6487715436,0.02214285714285714,1,14 249 112 199 15 747 -37,0.0 1.0 1.0 1.0 1.0 1.0 1.0,111111.0,0.2307142857142857,526,17 25 7 32 1 373 -79,0.75 0.008849557522123894 0.05405405405405406 0.10695187165775401 0.06666666666666667 0.11374407582938388 0.10638297872340426,751540.3586548144,0.04071428571428572,286
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,18 168 555 709 182 1915 21,1.0 0.0 0.014028056112224449 0.0 0.7384615384615385 0.2992957746478873 0.6363636363636364,1000217.7560363512,0.016666666666666666,1,5 227 1047 802 199 2017 9,0.1875 0.4957983193277311 1.0 0.27596439169139464 1.0 0.4788732394366197 0.09090909090909091,247460.6759659498,0.2857142857142857,5158,16 179 548 754 171 1856 15,0.875 0.09243697478991597 0.0 0.13353115727002968 0.5692307692307692 0.1954225352112676 0.36363636363636365,884436.4695749006,0.06904761904761905,2531,18 168 555 709 182 1915 21,1.0 0.0 0.014028056112224449 0.0 0.7384615384615385 0.2992957746478873 0.6363636363636364,1000217.7560363512,0.016666666666666666,1,2 237 641 784 151 1833 7,0.0 0.5798319327731093 0.18637274549098196 0.22255192878338279 0.26153846153846155 0.15492957746478872 0.0,60097.17580293262,0.2154761904761905,3543,4 286 871 1046 172 2313 23,0.125 0.9915966386554622 0.6472945891783567 1.0 0.5846153846153846 1.0 0.7272727272727273,231701.7985685186,0.34285714285714286,4514,18 168 555 709 182 1915 21,1.0 0.0 0.014028056112224449 0.0 0.7384615384615385 0.2992957746478873 0.6363636363636364,1000217.7560363512,0.016666666666666666,1,9 226 558 727 168 1847 29,0.4375 0.48739495798319327 0.02004008016032064 0.05341246290801187 0.5230769230769231 0.1795774647887324 1.0,486548.4125297862,0.15714285714285714,4161,9 287 761 1026 134 1745 16,0.4375 1.0 0.42685370741482964 0.9406528189910979 0.0 0.0 0.4090909090909091,542709.5989840485,0.5071428571428571,3903
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 108 -52,0.0 0.0 0.0 0.0 0.0 1.0 0.06451612903225806,10.064516129032258,0.09285714285714286,44,0 0 0 0 0 81 -32,0.0 0.0 0.0 0.0 0.0 0.12903225806451613 0.7096774193548387,2.0,0.4232142857142857,9,0 0 0 0 0 107 -53,0.0 0.0 0.0 0.0 0.0 0.967741935483871 0.03225806451612903,9.70967741935484,0.09464285714285714,45,0 0 0 0 0 106 -51,0.0 0.0 0.0 0.0 0.0 0.9354838709677419 0.0967741935483871,9.451612903225806,0.09642857142857143,20,0 0 0 0 0 77 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0.4125,4,0 0 0 0 0 108 -52,0.0 0.0 0.0 0.0 0.0 1.0 0.06451612903225806,10.064516129032258,0.09285714285714286,29,0 0 0 0 0 107 -53,0.0 0.0 0.0 0.0 0.0 0.967741935483871 0.03225806451612903,9.70967741935484,0.09464285714285714,26,0 0 0 0 0 94 -32,0.0 0.0 0.0 0.0 0.0 0.5483870967741935 0.7096774193548387,6.193548387096774,0.25,14,0 0 0 0 0 107 -54,0.0 0.0 0.0 0.0 0.0 0.967741935483871 0.0,9.67741935483871,0.09642857142857143,18
