,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 459 -46,0.0 0.0 0.0 0.0 0.0 1.0 0.926829268292683,10.926829268292684,0.4595238095238095,82,0 0 0 0 0 142 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6714285714285714,184,0 0 0 0 0 437 -43,0.0 0.0 0.0 0.0 0.0 0.9305993690851735 1.0,10.305993690851736,0.4738095238095238,51
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,33 208 3761 1524 439 6250 -21,1.0 0.0 1.0 1.0 1.0 1.0 0.0,1011110.0,0.008571428571428572,684,6 432 3509 1400 318 5633 42,0.0 1.0 0.812639405204461 0.7061611374407583 0.45 0.6482326111744584 0.5478260869565217,108884.58534168405,0.8121428571428572,12317,7 425 2416 1102 219 4496 94,0.037037037037037035 0.96875 0.0 0.0 0.0 0.0 1.0,133913.03703703702,0.785,14914
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,22 124 2094 863 151 6031 100,1.0 1.0 0.0 0.0 0.18661971830985916 0.0 0.7222222222222222,1100019.3841940532,0.5314285714285715,28068,0 39 2736 1125 382 9055 9,0.0 0.0 1.0 0.9357142857142857 1.0 1.0 0.0,11045.714285714286,0.6592857142857143,28659,4 48 2258 1143 98 6225 135,0.18181818181818182 0.10588235294117647 0.2554517133956386 1.0 0.0 0.06415343915343916 1.0,195962.5757806474,0.6564285714285715,29277
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,4 6 0 11 0 79 -16,1.0 1.0 0.0 1.0 0.0 0.0 0.5,1101000.5,0.025,397,0 1 0 2 0 95 -20,0.0 0.0 0.0 0.0 0.0 0.1927710843373494 0.0,1.927710843373494,0.6178571428571429,26177,0 1 0 2 0 162 -12,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.48928571428571427,22281
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,15 4 5 169 22 1100 28,1.0 1.0 0.13043478260869565 1.0 1.0 1.0 0.9137931034482759,1102415.2616191905,0.014285714285714285,1044,0 0 2 2 0 190 -78,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6726190476190477,10857,0 0 25 140 21 889 38,0.0 0.0 1.0 0.8263473053892215 0.9545454545454546 0.7681318681318682 1.0,10930.483169525085,0.6702380952380952,18806
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,18 2 0 5 0 96 -79,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.008333333333333333,1009,1 291 802 915 158 1606 24,0.05555555555555555 1.0 0.8881506090808416 0.9391124871001032 0.8186528497409327 0.7169990503323836 0.944954128440367,165466.15436306995,0.7821428571428571,36126,0 239 903 974 193 2202 30,0.0 0.8200692041522492 1.0 1.0 1.0 1.0 1.0,93117.92041522491,0.7785714285714286,29639
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,13 199 1637 844 127 3737 96,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.5964285714285714,35271,1 12 766 836 46 3294 17,0.07692307692307693 0.0 0.0 0.972972972972973 0.0 0.0 0.0,77896.0498960499,0.6839285714285714,36547,0 44 1030 548 116 3706 48,0.0 0.1711229946524064 0.3030998851894374 0.0 0.8641975308641975 0.9300225733634312 0.3924050632911392,20239.41070101836,0.7214285714285714,42359
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,9 179 1837 1288 125 5646 197,1.0 1.0 0.877462758289284 1.0 0.375 0.6558599167822469 1.0,1109819.6861820605,0.555,23281,0 8 2092 945 215 7631 115,0.0 0.03389830508474576 1.0 0.6209944751381216 1.0 1.0 0.5638297872340425,14121.388813399932,0.7085714285714285,28336,0 2 11 383 71 1863 9,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.7164285714285714,28975
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,19 168 556 709 182 1924 21,1.0 0.0 0.0 0.0 0.0 1.0 0.0,1000010.0,0.016666666666666666,1189,0 331 1066 1284 184 1633 23,0.0 1.0 1.0 1.0 0.1111111111111111 0.12084592145015106 0.3333333333333333,111012.65290365893,0.794047619047619,22770,2 303 1021 993 200 1593 27,0.10526315789473684 0.8282208588957055 0.9117647058823529 0.49391304347826087 1.0 0.0 1.0,197797.80388660918,0.7916666666666666,21923
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 230 -37,0.0 0.0 0.0 0.0 0.0 0.8461538461538461 0.8571428571428571,9.31868131868132,0.4767857142857143,65,0 0 0 0 0 76 -49,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6392857142857142,198,0 0 0 0 0 258 -35,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.5017857142857143,28
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s6,16 97 1971 996 53 6477 94,1.0 1.0 0.7728852838933952 1.0 0.0 0.861049519586105 1.0,1108738.46333413,0.5964285714285714,24016,0 2 2167 622 148 6665 -1,0.0 0.0 1.0 0.279383429672447 1.0 1.0 0.0,10389.383429672447,0.6942857142857143,29081,0 3 1304 477 82 5312 11,0.0 0.010526315789473684 0.0 0.0 0.30526315789473685 0.0 0.12631578947368421,1083.2842105263157,0.63,26550
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s1,16 233 1602 1138 167 4096 52,1.0 1.0 1.0 1.0 1.0 0.9823056300268097 1.0,1111110.8230563002,0.5,28948,0 2 306 342 57 2264 12,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6651785714285714,35085,0 44 1164 427 115 4129 44,0.0 0.18181818181818182 0.6620370370370371 0.10678391959798995 0.5272727272727272 1.0 0.8,24972.499744513818,0.6383928571428571,41190
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s3,0 0 0 0 0 184 -25,0.0 0.0 0.0 0.0 0.0 0.8867924528301887 1.0,9.867924528301888,0.4035714285714286,23,0 0 0 0 0 90 -25,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0.6142857142857143,180,0 0 0 0 0 196 -27,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.4142857142857143,15
