,lnps-10-org-obj,lnps-10-nrm-obj,lnps-10-obj,lnps-10-diff,lnps-10-freq,lnps-30-org-obj,lnps-30-nrm-obj,lnps-30-obj,lnps-30-diff,lnps-30-freq,lnps-60-org-obj,lnps-60-nrm-obj,lnps-60-obj,lnps-60-diff,lnps-60-freq,mp-is-p-hi-org-obj,mp-is-p-hi-nrm-obj,mp-is-p-hi-obj,mp-is-p-hi-diff,mp-is-p-hi-freq,mp-is-p-low-org-obj,mp-is-p-low-nrm-obj,mp-is-p-low-obj,mp-is-p-low-diff,mp-is-p-low-freq,mp-is-p-mid-org-obj,mp-is-p-mid-nrm-obj,mp-is-p-mid-obj,mp-is-p-mid-diff,mp-is-p-mid-freq,mp-p-hi-org-obj,mp-p-hi-nrm-obj,mp-p-hi-obj,mp-p-hi-diff,mp-p-hi-freq,mp-p-low-org-obj,mp-p-low-nrm-obj,mp-p-low-obj,mp-p-low-diff,mp-p-low-freq,mp-p-mid-org-obj,mp-p-mid-nrm-obj,mp-p-mid-obj,mp-p-mid-diff,mp-p-mid-freq
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 188 -73,0.0 0.0 0.0 0.0 0.0 0.030534351145038167 0.1568627450980392,0.4622062565484209,0.1595238095238095,33.0,0 0 0 0 0 183 -81,0.0 0.0 0.0 0.0 0.0 0.011450381679389313 0.0,0.11450381679389313,0.1380952380952381,11.0,0 0 0 0 0 180 -74,0.0 0.0 0.0 0.0 0.0 0.0 0.13725490196078433,0.13725490196078433,0.1261904761904762,15,0 0 0 0 0 223 -75,0.0 0.0 0.0 0.0 0.0 0.16412213740458015 0.11764705882352941,1.758868432869331,0.16071428571428573,1,0 0 0 0 0 193 -73,0.0 0.0 0.0 0.0 0.0 0.04961832061068702 0.1568627450980392,0.6530459512049094,0.36666666666666664,3,0 0 0 0 0 238 -60,0.0 0.0 0.0 0.0 0.0 0.22137404580152673 0.4117647058823529,2.62550516389762,0.1595238095238095,2,0 0 0 0 0 442 -49,0.0 0.0 0.0 0.0 0.0 1.0 0.6274509803921569,10.627450980392156,0.4773809523809524,46,0 0 0 0 0 393 -30,0.0 0.0 0.0 0.0 0.0 0.8129770992366412 1.0,9.129770992366412,0.5023809523809524,71,0 0 0 0 0 431 -47,0.0 0.0 0.0 0.0 0.0 0.9580152671755725 0.6666666666666666,10.246819338422391,0.475,49
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,32 206 3724 1451 440 6241 -30,0.0 0.978494623655914 0.0 0.935226264418811 0.5469543147208121 0.0 0.7435897435897436,98840.12765122589,0.017857142857142856,485.0,32 206 3724 1477 440 6277 -21,0.0 0.978494623655914 0.0 0.9582963620230701 0.5469543147208121 0.00944386149003148 0.9743589743589743,98863.52295667582,0.017857142857142856,474.0,32 206 3727 1456 440 6264 -26,0.0 0.978494623655914 0.0004942339373970346 0.9396628216503993 0.5469543147208121 0.006033578174186778 0.8461538461538461,98849.66944771576,0.017142857142857144,432,33 208 3761 1524 439 6250 -21,0.1111111111111111 1.0 0.006095551894563427 1.0 0.5456852791878173 0.00236096537250787 0.9743589743589743,212227.6331266036,0.008571428571428572,1,33 206 3763 1503 449 6325 -30,0.1111111111111111 0.978494623655914 0.006425041186161449 0.9813664596273292 0.5583756345177665 0.022035676810073453 0.7435897435897436,210062.9918581549,0.02214285714285714,58,33 206 3791 1502 451 6348 -29,0.1111111111111111 0.978494623655914 0.011037891268533773 0.9804791481810116 0.5609137055837563 0.02806925498426023 0.7692307692307693,210108.57283144628,0.03642857142857143,49,41 137 9499 1347 797 10053 -20,1.0 0.23655913978494625 0.9514003294892917 0.8429458740017747 1.0 1.0 1.0,1034123.8631473894,0.21428571428571427,202,36 115 9468 397 16 8023 -24,0.4444444444444444 0.0 0.9462932454695222 0.0 0.008883248730964468 0.46747114375655824 0.8974358974358975,453913.83737134776,0.8042857142857143,428,34 117 9794 403 9 7850 -59,0.2222222222222222 0.021505376344086023 1.0 0.005323868677905945 0.0 0.4220881427072403 0.0,234382.3046067358,0.8042857142857143,445
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,12 20 2 27 0 516 -130,0.0 1.0 0.0004798464491362764 0.0003580949349460868 0.0 0.005898073910238688 0.9831932773109243,100006.19873344272,0.032857142857142856,457.0,12 20 2 38 0 481 -129,0.0 1.0 0.0004798464491362764 0.0007957665221024152 0.0 0.0026725647405769055 0.9915966386554622,100006.61255329954,0.02857142857142857,442.0,13 20 0 33 0 467 -128,0.05555555555555555 1.0 0.0 0.0005968248915768113 0.0 0.0013823610727121925 1.0,155557.16620405787,0.03,439,30 11 2 22 0 457 -130,1.0 0.4 0.0004798464491362764 0.00015915330442048303 0.0 0.00046078702423739745 0.9831932773109243,1040005.9454189433,0.015,1,26 20 31 51 3 537 -137,0.7777777777777778 1.0 0.007437619961612284 0.001313014761468985 1.0 0.007833379412035758 0.9243697478991597,877954.4696956973,0.05,375,27 9 0 18 0 452 -132,0.8333333333333334 0.26666666666666666 0.0 0.0 0.0 0.0 0.9663865546218487,860000.9663865546,0.02,105,27 9 4060 24143 0 11029 -222,0.8333333333333334 0.26666666666666666 0.974088291746641 0.9598933672860382 0.0 0.9747488710717906 0.21008403361344538,870710.7338574969,0.6435714285714286,494,27 5 4168 25151 0 11303 -247,0.8333333333333334 0.0 1.0 1.0 0.0 1.0 0.0,844343.3333333334,0.6414285714285715,475,27 5 4165 24679 0 11237 -243,0.8333333333333334 0.0 0.9992802303262955 0.981219910078383 0.0 0.9939176112800664 0.03361344537815126,844317.3283362328,0.6428571428571429,554
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 2 0 2 0 92 -19,0.0 0.012345679012345678 0.0 0.0 0.0 0.05327868852459016 0.14814814814814814,1235.248836267962,0.1392857142857143,396.0,0 2 0 2 0 92 -19,0.0 0.012345679012345678 0.0 0.0 0.0 0.05327868852459016 0.14814814814814814,1235.248836267962,0.1392857142857143,396.0,0 2 0 2 0 93 -23,0.0 0.012345679012345678 0.0 0.0 0.0 0.05737704918032787 0.0,1235.1416717263712,0.14285714285714285,395,4 6 0 11 0 79 -16,0.5 0.06172839506172839 0.0 0.6 0.0 0.0 0.25925925925925924,506773.09876543214,0.025,1,0 1 0 10 1 134 -17,0.0 0.0 0.0 0.5333333333333333 1.0 0.22540983606557377 0.2222222222222222,635.8096539162112,0.19285714285714287,1222,0 2 0 3 0 99 -16,0.0 0.012345679012345678 0.0 0.06666666666666667 0.0 0.08196721311475409 0.25925925925925924,1302.3134992916416,0.10714285714285714,416,4 6 0 11 0 79 -16,0.5 0.06172839506172839 0.0 0.6 0.0 0.0 0.25925925925925924,506773.09876543214,0.025,397,7 82 0 14 0 298 4,0.875 1.0 0.0 0.8 0.0 0.8975409836065574 1.0,975809.975409836,0.725,2439,8 69 10 17 1 323 -2,1.0 0.8395061728395061 1.0 1.0 1.0 1.0 0.7777777777777778,1095061.3950617283,0.6142857142857143,2756
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,1 12 17 186 22 1148 27,0.07142857142857142 0.16666666666666666 0.010917030567685589 0.003072772240125909 0.9565217391304348 0.020454545454545454 0.8933333333333333,88304.23122585597,0.0380952380952381,783.0,1 12 17 185 23 1158 30,0.07142857142857142 0.16666666666666666 0.010917030567685589 0.002997826575732594 1.0 0.023701298701298702 0.9133333333333333,88308.55657381102,0.039285714285714285,785.0,1 12 17 186 22 1148 27,0.07142857142857142 0.16666666666666666 0.010917030567685589 0.003072772240125909 0.9565217391304348 0.020454545454545454 0.8933333333333333,88304.23122585597,0.0380952380952381,783,14 4 3 170 22 1091 28,1.0 0.05555555555555555 0.000727802037845706 0.0018736416098328712 0.9565217391304348 0.001948051948051948 0.9,1005661.2788719763,0.014285714285714285,1,13 3 2 153 14 1106 28,0.9285714285714286 0.041666666666666664 0.0 0.0005995653151465187 0.6086956521739131 0.006818181818181818 0.9,932800.5325504461,0.125,549,13 3 2 145 9 1085 23,0.9285714285714286 0.041666666666666664 0.0 0.0 0.391304347826087 0.0 0.8666666666666667,932778.0923395446,0.04642857142857143,870,11 72 721 2525 7 2503 43,0.7857142857142857 1.0 0.5232896652110626 0.17837068125608935 0.30434782608695654 0.4603896103896104 1.0,891161.5917263649,0.32857142857142857,516,0 0 1346 12730 1 4095 -94,0.0 0.0 0.9781659388646288 0.9431911863898673 0.043478260869565216 0.9772727272727273 0.08666666666666667,10739.057795062505,0.6404761904761904,205,0 0 1376 13488 0 4165 -107,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.6416666666666667,67
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,4 14 1 7 0 115 -76,0.030303030303030304 0.041666666666666664 0.008620689655172414 0.03937007874015748 0.0 0.02247191011235955 0.07017543859649122,34595.56883952857,0.039285714285714285,383.0,3 7 1 5 0 123 -76,0.0 0.017361111111111112 0.008620689655172414 0.023622047244094488 0.0 0.03245942571785269 0.07017543859649122,1846.3348246027047,0.05238095238095238,678.0,3 7 1 2 0 127 -75,0.0 0.017361111111111112 0.008620689655172414 0.0 0.0 0.03745318352059925 0.08771929824561403,1822.780258796287,0.05119047619047619,708,17 2 0 5 0 97 -79,0.42424242424242425 0.0 0.0 0.023622047244094488 0.0 0.0 0.017543859649122806,424266.063833528,0.008333333333333333,1,11 48 7 56 2 186 -53,0.24242424242424243 0.1597222222222222 0.0603448275862069 0.4251968503937008 0.14285714285714285 0.1111111111111111 0.47368421052631576,259440.98028232777,0.09523809523809523,547,11 3 5 20 3 144 -80,0.24242424242424243 0.003472222222222222 0.04310344827586207 0.14173228346456693 0.21428571428571427 0.05867665418227216 0.0,243366.24675065823,0.041666666666666664,551,36 290 116 129 14 502 -58,1.0 1.0 1.0 1.0 1.0 0.5056179775280899 0.38596491228070173,1111105.4421446878,0.275,553,21 258 19 86 6 858 -33,0.5454545454545454 0.8888888888888888 0.16379310344827586 0.6614173228346457 0.42857142857142855 0.9500624219725343 0.8245614035087719,636695.9650292321,0.6059523809523809,936,22 251 25 129 10 898 -23,0.5757575757575758 0.8645833333333334 0.21551724137931033 1.0 0.7142857142857143 1.0 1.0,665453.5100761309,0.6011904761904762,528
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,14 11 1 23 0 230 -102,0.0 0.45454545454545453 0.0003834355828220859 0.000575843370603196 0.0 0.0024667671645881867 1.0,45459.980321415926,0.027678571428571427,467.0,16 10 0 30 0 253 -104,0.15384615384615385 0.36363636363636365 0.0 0.0009117520034550602 0.0 0.005618747430450871 0.9795918367346939,190211.73774110473,0.025892857142857145,415.0,14 11 1 23 0 231 -102,0.0 0.45454545454545453 0.0003834355828220859 0.000575843370603196 0.0 0.0026038097848430863 1.0,45459.98169184213,0.027678571428571427,466,27 7 1 17 0 212 -104,1.0 0.09090909090909091 0.0003834355828220859 0.000287921685301598 0.0 0.0 0.9795918367346939,1009096.0109602592,0.0125,1,25 17 4 28 0 259 -105,0.8461538461538461 1.0 0.0015337423312883436 0.0008157781083545276 0.0 0.006441003151980266 0.9693877551020408,946171.033153054,0.039285714285714285,1148,25 7 0 11 0 229 -105,0.8461538461538461 0.09090909090909091 0.0 0.0 0.0 0.0023297245443332877 0.9693877551020408,855245.7479297558,0.033928571428571426,806,15 6 2608 20850 0 7509 -166,0.07692307692307693 0.0 1.0 1.0 0.0 1.0 0.3469387755102041,87933.42386185243,0.6616071428571428,99,15 6 2522 20486 0 7356 -200,0.07692307692307693 0.0 0.9670245398773006 0.982532751091703 0.0 0.9790324791010004 0.0,87585.64539773265,0.6607142857142857,873,15 6 2489 20812 0 7319 -197,0.07692307692307693 0.0 0.9543711656441718 0.9981764959930899 0.0 0.9739619021515692 0.030612244897959183,87474.73530677815,0.6625,972
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,12 26 3 29 0 352 -77,0.0 1.0 0.0006898137502874224 0.0007279972412736121 0.0 0.002393192696330438 1.0,100008.6500666711,0.030714285714285715,409.0,14 19 1 20 0 341 -85,0.3333333333333333 0.631578947368421 0.00022993791676247414 0.0003831564427755853 0.0 0.0014181882644921113 0.9344262295081968,396494.85921389796,0.029285714285714286,367.0,12 23 3 28 0 369 -80,0.0 0.8421052631578947 0.0006898137502874224 0.0006896815969960534 0.0 0.003900017727353306 0.9754098360655737,84219.12854490268,0.02857142857142857,433,18 24 1 21 0 325 -82,1.0 0.8947368421052632 0.00022993791676247414 0.0004214720870531438 0.0 0.0 0.9590163934426229,1089477.3640781743,0.02214285714285714,1,18 22 0 10 0 339 -86,1.0 0.7894736842105263 0.0 0.0 0.0 0.0012409147314305974 0.9262295081967213,1078948.307059708,0.03214285714285714,386,16 21 4 30 1 367 -77,0.6666666666666666 0.7368421052631579 0.0009197516670498966 0.0007663128855511706 1.0 0.0037227441942917923 1.0,740461.8782499804,0.037142857142857144,440,18 14 4323 25296 0 11440 -199,1.0 0.3684210526315789 0.9940216141641757 0.9688493812023449 0.0 0.9851976599893636 0.0,1047761.0227626018,0.6428571428571429,357,18 7 4320 25948 1 11498 -194,1.0 0.0 0.9933318004138882 0.9938311812713131 1.0 0.9903385924481475 0.040983606557377046,1011037.0935549414,0.66,38,18 7 4349 26109 0 11607 -197,1.0 0.0 1.0 1.0 0.0 1.0 0.01639344262295082,1011010.0163934426,0.66,128
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,16 154 529 556 181 1908 18,0.125 0.0 0.8930390492359932 0.7571428571428571 0.9516129032258065 0.930635838150289 0.6612903225806451,134792.66228852945,0.04523809523809524,414.0,13 161 556 680 177 1932 16,0.0 0.03482587064676617 0.9388794567062818 0.953968253968254 0.9301075268817204 0.9504541701073493 0.6290322580645161,13928.494212354999,0.02738095238095238,581.0,13 163 562 673 177 1932 17,0.0 0.04477611940298507 0.9490662139219015 0.9428571428571428 0.9301075268817204 0.9504541701073493 0.6451612903225806,15014.291678054233,0.02619047619047619,551,18 168 555 709 182 1915 21,0.20833333333333334 0.06965174129353234 0.9371816638370118 1.0 0.956989247311828 0.9364161849710982 0.7096774193548387,225776.09686505696,0.016666666666666666,1,17 167 592 588 186 1990 21,0.16666666666666666 0.06467661691542288 1.0 0.807936507936508 0.978494623655914 0.9983484723369116 0.7096774193548387,184050.80749065377,0.05,1067,17 167 574 592 190 1992 19,0.16666666666666666 0.06467661691542288 0.969439728353141 0.8142857142857143 1.0 1.0 0.6774193548387096,183753.6887753809,0.04880952380952381,935,37 355 410 421 63 1161 39,1.0 1.0 0.6910016977928692 0.5428571428571428 0.3172043010752688 0.3137902559867878 1.0,1107488.7324534531,0.41904761904761906,509,28 255 3 79 4 781 -23,0.625 0.5024875621890548 0.0 0.0 0.0 0.0 0.0,675248.7562189054,0.7226190476190476,1120,28 254 17 107 8 788 -23,0.625 0.4975124378109453 0.023769100169779286 0.044444444444444446 0.021505376344086023 0.005780346820809248 0.0,675035.5875683394,0.7226190476190476,786
resolved-p28d-paper/resolved-p28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 78 -46,0.0 0.0 0.0 0.0 0.0 0.0 0.3103448275862069,0.3103448275862069,0.25,25.0,0 0 0 0 0 87 -45,0.0 0.0 0.0 0.0 0.0 0.04072398190045249 0.3448275862068966,0.7520674052114215,0.18035714285714285,11.0,0 0 0 0 0 87 -45,0.0 0.0 0.0 0.0 0.0 0.04072398190045249 0.3448275862068966,0.7520674052114215,0.18035714285714285,11,0 0 0 0 0 107 -53,0.0 0.0 0.0 0.0 0.0 0.13122171945701358 0.06896551724137931,1.381182711811515,0.1,21,0 0 0 0 0 101 -37,0.0 0.0 0.0 0.0 0.0 0.10407239819004525 0.6206896551724138,1.6614136370728665,0.22142857142857142,5,0 0 0 0 0 110 -55,0.0 0.0 0.0 0.0 0.0 0.14479638009049775 0.0,1.4479638009049776,0.09642857142857143,29,0 0 0 0 0 259 -26,0.0 0.0 0.0 0.0 0.0 0.8190045248868778 1.0,9.190045248868778,0.4982142857142857,31,0 0 0 0 0 250 -29,0.0 0.0 0.0 0.0 0.0 0.7782805429864253 0.896551724137931,8.679357154002185,0.5285714285714286,37,0 0 0 0 0 299 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.7586206896551724,10.758620689655173,0.5035714285714286,25
